id,stem,surface_kind,xres,yres,xreal_m,z_range_m,clean_rms_m,degraded_rms_m,has_real_periodicity,n_artifacts,tilt,bow,row_offsets,scars,spikes,hum,line_noise,bow_amp_m,hum_amp_m,hum_angle_deg,hum_period_px,line_noise_sigma_m,n_particles,n_scars,n_spikes,n_terraces,psd_beta,row_offset_sigma_m,scar_amp_m,spike_amp_m,tilt_x_m,tilt_y_m,true_angle_deg,true_period_px
100,00100_terraces,terraces,256,256,5e-06,1.2787846101206076e-06,2.081377497563286e-07,1.2793146554303868e-06,0,4,1,1,0,0,1,0,1,2.1096458303708676e-06,,,,1.4731198800247116e-07,,,21,6,,,,7.1766989964765556e-06,2.00033641623189e-06,3.6980016218291883e-06,,
101,00101_particles,particles,256,256,5e-06,1.1994401953018846e-06,2.044857830044833e-07,3.433795168109649e-07,0,3,0,0,1,1,0,1,0,,2.0879895081100236e-07,158.809,9.164,,51,10,,,,1.0330949703433924e-07,1.3862502355026488e-06,,,,,
102,00102_terraces,terraces,256,256,5e-06,1.9934980708038336e-07,3.996368994964973e-08,9.383941521418732e-08,0,4,0,1,1,1,0,1,0,3.109240534162214e-07,5.304711126112764e-08,74.229,9.63,,,5,,3,,6.288396306516879e-08,1.0953784490101097e-07,,,,,
103,00103_terraces,terraces,256,256,5e-06,7.700688987537644e-07,1.9075843302595934e-07,2.806648812475322e-07,0,2,0,1,0,1,0,0,0,2.2141052792028575e-06,,,,,,9,,2,,,6.19897968948587e-07,,,,,
104,00104_particles,particles,256,256,1e-05,7.591811217557684e-07,1.3228358971951924e-07,2.210413414268014e-07,0,3,0,1,1,1,0,0,0,-1.4719409023130722e-06,,,,,34,5,,,,6.656808800796418e-08,6.812954660945125e-07,,,,,
105,00105_grating,grating,256,256,5e-05,1.2076126700133438e-06,5.195556978202589e-07,7.274007785794113e-07,1,2,1,0,0,0,0,0,1,,,,,1.1007931750765566e-07,,,,,,,,,1.688324954730396e-06,-4.13029783073943e-07,168.08,13.1
106,00106_particles,particles,256,256,5e-06,1.1913094333958674e-06,1.6374803326246e-07,3.41234367802289e-07,0,3,0,1,0,0,1,1,0,2.600917766683078e-06,1.6402216394319916e-07,157.671,15.316,,11,,6,,,,,3.159179233196454e-06,,,,
107,00107_terraces,terraces,256,256,5e-06,1.252341911155627e-07,2.2655280968308405e-08,1.2951732430258687e-07,0,5,1,0,1,1,0,1,1,,4.3364786610507476e-08,94.283,12.111,1.5552392137802244e-09,,4,,4,,4.250422404332238e-08,7.023559349845122e-08,,3.540624746790923e-07,-1.9069768813110348e-07,,
108,00108_rough,rough,256,256,2e-05,8.579222049748948e-07,1.0243095274764219e-07,1.2624657800635776e-07,0,3,1,0,1,1,0,0,0,,,,,,,8,,,2.178,3.558273676033742e-08,2.288943751665014e-07,,2.3149944258272738e-08,-3.52056862981404e-07,,
109,00109_smooth,smooth,256,256,1e-05,6.796461081536029e-07,1.5388476490118932e-07,1.5943404813637242e-07,0,1,0,0,0,0,0,0,1,,,,,4.184465321267669e-08,,,,,,,,,,,,
110,00110_grating,grating,256,256,1e-05,1.3599060111902593e-06,6.038565616609143e-07,6.83927537781023e-07,1,3,1,1,0,0,1,0,0,-2.939389929548923e-06,,,,,,,9,,,,,1.8384040236265864e-06,1.6169027474274964e-07,2.680136699028791e-07,72.69,38.53
111,00111_rough,rough,256,256,1e-05,1.1195777663690904e-06,1.540553922853663e-07,1.102684208600868e-06,0,3,1,1,0,0,1,0,0,-2.0971975964447454e-06,,,,,,,29,,2.165,,,6.410617188919747e-06,2.597968756833174e-06,-2.886955277247038e-06,,
112,00112_particles,particles,256,256,5e-06,8.773359056618261e-07,1.8068179650111094e-07,2.134227787823954e-07,0,2,0,0,0,1,1,0,0,,,,,,48,12,40,,,,4.1066367450368485e-07,3.6723693830645903e-06,,,,
113,00113_rough,rough,256,256,2e-05,1.1505462382491027e-06,1.6078842339387164e-07,8.239183238770876e-07,0,3,1,0,0,1,1,0,0,,,,,,,10,5,,2.79,,3.960481634229077e-07,3.5128960179902524e-06,-2.6818042648595586e-06,-1.001649085547924e-06,,
114,00114_lattice,lattice,256,256,5e-05,1.32993686028933e-06,3.3224676173919944e-07,3.789307555600145e-07,1,3,0,0,0,1,1,0,1,,,,,1.3379110183857414e-07,,1,37,,,,9.299060719502275e-07,4.831163262390905e-06,,,85.47,17.45
115,00115_grating,grating,256,256,1e-05,1.6030644919946469e-07,7.025250220659875e-08,1.1691334981346672e-07,1,6,1,1,1,1,1,0,1,-6.245920165320434e-07,,,,4.961635874757159e-09,,1,32,,,2.3883740884582802e-08,1.706940613579619e-07,5.096934117684539e-07,1.9256427339794097e-08,-2.0005874166649533e-07,168.76,27.75
116,00116_terraces,terraces,256,256,2e-05,5.317561736291468e-07,1.3132020993679812e-07,2.47151832353097e-07,0,4,0,1,1,1,0,0,1,1.3121737871754919e-06,,,,3.134552662843083e-08,,3,,2,,1.3462029609116199e-07,5.819970217787424e-07,,,,,
117,00117_rough,rough,256,256,5e-05,4.2531923088980833e-07,5.820146317038528e-08,5.820146317038529e-08,0,0,0,0,0,0,0,0,0,,,,,,,,,,2.357,,,,,,,
118,00118_lattice,lattice,256,256,1e-05,1.1022951846119783e-06,2.755211052319259e-07,2.793661772523638e-07,1,1,0,0,0,0,0,0,1,,,,,4.630722998135417e-08,,,,,,,,,,,38.69,15.62
119,00119_rough,rough,256,256,5e-06,1.0814918711984418e-06,1.826368197779434e-07,2.6655291228776837e-07,0,4,0,1,1,1,0,1,0,3.674016900956016e-07,1.5940617352422092e-07,12.472,8.172,,,4,,,3.173,1.4657154658834526e-07,9.096817834312422e-07,,,,,
120,00120_terraces,terraces,256,256,5e-05,9.101108071758245e-07,1.7774785980360218e-07,4.5545493631766407e-07,0,3,0,1,1,0,0,0,1,-2.627385399693434e-06,,,,1.4646275799368298e-08,,,,3,,3.0090845530713417e-07,,,,,,
121,00121_particles,particles,256,256,2e-05,6.274199634740636e-07,1.296586350947749e-07,1.951747108242301e-07,0,2,0,0,0,1,0,1,0,,1.7346891147239898e-07,175.205,9.263,,57,10,,,,,5.470898617483682e-07,,,,,
122,00122_rough,rough,256,256,5e-06,8.803297596171609e-07,1.1372912813594539e-07,1.1372912813594539e-07,0,0,0,0,0,0,0,0,0,,,,,,,,,,2.315,,,,,,,
123,00123_particles,particles,256,256,5e-05,1.1434556954695833e-06,1.6381801835500281e-07,2.4554079481665616e-07,0,3,0,0,0,1,1,0,1,,,,,4.62185584486348e-08,12,4,9,,,,1.3397408272818121e-06,6.84522655568674e-06,,,,
124,00124_grating,grating,256,256,5e-06,1.3130625191241006e-06,5.707826789409811e-07,7.114602245129569e-07,1,1,0,0,0,0,0,1,0,,6.007752180488523e-07,16.821,3.02,,,,,,,,,,,,96.24,27.65
125,00125_grating,grating,256,256,2e-05,7.451278869300897e-07,3.199719005451774e-07,3.968084484564888e-07,1,2,0,1,0,0,0,1,0,-9.59903299756132e-07,2.887694776223589e-07,44.994,15.734,,,,,,,,,,,,109.97,24.56
126,00126_grating,grating,256,256,2e-05,1.0890185332596224e-06,4.803402753561711e-07,5.031203135838449e-07,1,3,0,0,1,1,0,0,1,,,,,3.854995334363418e-08,,10,,,,1.3533403417309142e-07,4.5862335625236114e-07,,,,32.98,36.14
127,00127_terraces,terraces,256,256,5e-06,2.6453440580009186e-07,6.612828805799283e-08,1.0310918074611287e-07,0,2,0,0,1,0,0,0,1,,,,,2.8820320952715037e-08,,,,2,,7.08800514873613e-08,,,,,,
128,00128_particles,particles,256,256,1e-05,7.688985402091216e-07,1.3659330896725976e-07,5.508973483520674e-07,0,4,1,1,0,1,0,0,1,-9.39666160820238e-07,,,,5.6469402651353484e-08,45,7,,,,,1.4904058091559738e-07,,-4.2762200649374497e-07,-1.8289972434051988e-06,,
129,00129_smooth,smooth,256,256,1e-05,8.77615417537129e-07,1.9481349866381357e-07,7.878218338041728e-07,0,7,1,1,1,1,1,1,1,-1.9718756859903737e-06,7.286644968554544e-08,101.516,4.802,9.055493975915203e-08,,2,14,,,2.632887975340872e-07,3.538160836984777e-07,3.6330270460134287e-06,1.1900598067184416e-06,1.5411823911216222e-06,,
130,00130_rough,rough,256,256,1e-05,4.3161122814018733e-07,6.685652246607144e-08,1.4387995107184223e-07,0,3,0,1,0,1,0,0,1,-1.2732020531268068e-06,,,,3.0209873291387334e-08,,7,,,2.769,,2.086603668901866e-07,,,,,
131,00131_smooth,smooth,256,256,5e-06,5.922805936755992e-07,1.358260121152351e-07,6.504583337800978e-07,0,4,1,1,0,1,0,0,1,-2.261086053905892e-06,,,,8.452243679150257e-08,,5,,,,,5.288483666457841e-07,,7.212824451207344e-07,-1.3797662697530051e-06,,
132,00132_terraces,terraces,256,256,2e-05,1.0677530220167e-06,1.9651745272007222e-07,4.848381013201982e-07,0,6,0,1,1,1,1,1,1,-1.2737381769652878e-06,3.200264736890418e-07,67.676,20.966,1.539221825067655e-07,,4,12,6,,2.7932053620164464e-07,5.924726030750264e-07,6.267570277469668e-06,,,,
133,00133_terraces,terraces,256,256,2e-05,1.091852388406914e-06,2.0641695751791005e-07,7.962063900365399e-07,0,6,1,1,1,1,1,1,0,-3.0965399057169403e-06,1.979809031449877e-07,177.363,9.948,,,11,35,4,,4.462271308678827e-08,5.905350650507944e-07,4.697073287072394e-06,1.7157627189792402e-06,1.3128759226266992e-06,,
134,00134_rough,rough,256,256,2e-05,2.352154683380627e-07,3.9533592853109195e-08,1.1449619159821476e-07,0,5,1,0,1,1,1,0,1,,,,,2.8604917230566528e-08,,1,34,,3.151,4.293183953786653e-08,2.716763062324708e-07,9.114363714074421e-07,4.859475952555737e-08,-2.6819632685213504e-07,,
135,00135_rough,rough,256,256,1e-05,1.2541794698730067e-06,1.7608131123200507e-07,1.9699853914168227e-07,0,2,0,0,0,1,1,0,0,,,,,,,5,38,,2.321,,6.190690328571448e-07,3.126880360046393e-06,,,,
136,00136_particles,particles,256,256,5e-05,9.260892988449396e-07,1.7842752093065166e-07,7.421693160437653e-07,0,4,1,1,0,1,0,1,0,1.99712263180731e-06,6.007708696123261e-08,112.918,14.948,,56,10,,,,,1.9771315392822398e-07,,1.778053966944807e-06,1.5955791490423981e-06,,
137,00137_rough,rough,256,256,1e-05,3.690939392485778e-07,5.3675865689643264e-08,1.031981143817641e-07,0,4,1,1,0,0,1,1,0,2.2408736164544316e-07,5.537636430576823e-08,97.993,23.029,,,,34,,2.567,,,6.974176040085305e-07,-1.0014893281420832e-08,2.3435125624483425e-07,,
138,00138_rough,rough,256,256,5e-06,3.1020503197519824e-07,3.961154803251825e-08,5.240070830131204e-08,0,2,0,1,0,0,0,1,0,9.281026146038566e-08,5.014685442225178e-08,51.755,22.789,,,,,,2.409,,,,,,,
139,00139_particles,particles,256,256,5e-06,1.231682391257763e-06,2.5220197430660206e-07,1.1002048832374332e-06,0,5,1,1,1,1,1,0,0,1.155774128243447e-06,,,,,31,7,12,,,4.182828831624436e-07,9.042041045016683e-07,7.31984034903839e-06,-2.0226768715189646e-06,-2.785745302327058e-06,,
140,00140_particles,particles,256,256,2e-05,6.518051223437162e-07,9.946712272696389e-08,2.5855619221972814e-07,0,5,1,1,1,1,0,0,1,3.416483160721515e-07,,,,9.181447970113195e-08,17,12,,,,3.20296194763759e-08,4.5192267056701125e-07,,3.1005425832193e-07,5.427452038547235e-07,,
141,00141_terraces,terraces,256,256,2e-05,1.342719294783039e-06,2.1042167571889946e-07,7.856126824232724e-07,0,1,1,0,0,0,0,0,0,,,,,,,,,4,,,,,-2.6198966095284566e-06,-6.386336893942868e-07,,
142,00142_smooth,smooth,256,256,5e-05,1.2829364016908482e-06,3.204783996464206e-07,4.5716935453855816e-07,0,3,0,1,1,0,1,0,0,1.8860997369857496e-06,,,,,,,20,,,2.2106784439623452e-07,,4.713233497672755e-06,,,,
143,00143_particles,particles,256,256,2e-05,8.980845413618668e-07,1.717753019445733e-07,4.855545993913631e-07,0,4,1,0,0,1,1,0,1,,,,,4.526832150556351e-08,49,5,2,,,,5.455469210233664e-07,4.448902037702256e-06,1.8577247199523191e-07,1.5989164658016017e-06,,
144,00144_particles,particles,256,256,1e-05,9.974880921949988e-07,1.9251849889927483e-07,2.1743812039411617e-07,0,1,0,1,0,0,0,0,0,1.481890982284537e-06,,,,,60,,,,,,,,,,,
145,00145_particles,particles,256,256,2e-05,8.886673015092799e-07,1.8150743276946746e-07,2.883208484744911e-07,0,3,0,1,0,1,1,0,0,-1.7642766367957167e-06,,,,,12,4,28,,,,4.3400319969020274e-07,2.1063974780433344e-06,,,,
146,00146_rough,rough,256,256,5e-05,1.0219446307411738e-06,1.324377148889236e-07,4.1600443185393923e-07,0,5,0,1,0,1,1,1,1,1.2667925467174587e-06,4.721806678720543e-07,93.904,18.608,1.1148838397650746e-07,,3,1,,2.791,,2.07341566590673e-07,5.960591372660291e-06,,,,
147,00147_smooth,smooth,256,256,2e-05,6.724261153955185e-07,1.4956880746612104e-07,6.233126724728876e-07,0,5,1,1,1,0,0,1,1,-4.988658174114945e-07,2.860474758413946e-07,177.222,7.598,9.37550988750097e-08,,,,,,1.1732940806790579e-07,,,-1.0157723680719601e-06,-1.980691123893708e-06,,
148,00148_lattice,lattice,256,256,2e-05,3.677801793338565e-07,9.194501333669414e-08,2.891378294106847e-07,1,3,1,1,1,0,0,0,0,1.3989424445994978e-06,,,,,,,,,,1.1376601707208482e-07,,,6.935407718900855e-07,2.0099702895653393e-07,49.94,19.73
149,00149_grating,grating,256,256,2e-05,3.7332951783453325e-07,1.645558760487945e-07,2.080513888891343e-07,1,3,0,1,0,0,0,1,1,7.312694336465234e-07,1.3126626258679672e-07,156.002,18.571,1.8194603910279423e-08,,,,,,,,,,,131.84,13.15
150,00150_grating,grating,256,256,5e-06,4.507354718828233e-07,1.9330256453882916e-07,2.733453346079756e-07,1,3,1,1,0,0,0,0,1,-1.5379456640316479e-06,,,,2.216555141819826e-08,,,,,,,,,1.1370243907840435e-07,3.5299648108435526e-07,101.47,23.23
151,00151_rough,rough,256,256,2e-05,4.969540650970394e-07,8.08549258344627e-08,9.661300787983606e-08,0,2,0,0,0,1,0,0,1,,,,,7.556808148043399e-09,,12,,,2.838,,3.685238897656681e-07,,,,,
152,00152_terraces,terraces,256,256,5e-05,3.941289345538747e-07,6.453451645553572e-08,1.2697070316531498e-07,0,3,0,1,0,1,0,1,0,-6.08913401776454e-07,1.4189117803484952e-07,138.847,3.535,,,4,,6,,,3.989083505765356e-07,,,,,
153,00153_lattice,lattice,256,256,1e-05,1.890475168797118e-07,4.727168902994862e-08,7.451540388183512e-08,1,2,1,0,1,0,0,0,0,,,,,,,,,,,5.043398450152319e-08,,,-6.010542242470961e-09,1.2148023624929973e-07,37.54,20.69
154,00154_rough,rough,256,256,5e-06,5.612113813336174e-07,7.855820419372102e-08,2.2152587550570394e-07,0,3,0,0,1,0,1,0,1,,,,,7.095488063708283e-08,,,5,,2.334,1.9386723015674518e-07,,1.9713317544232466e-06,,,,
155,00155_smooth,smooth,256,256,5e-05,1.1773696395603466e-06,2.873115765702215e-07,3.373583913513268e-07,0,3,0,1,0,1,0,0,1,4.347332272162868e-07,,,,3.2627470202682156e-08,,9,,,,,1.015565936249457e-06,,,,,
156,00156_lattice,lattice,256,256,5e-05,1.014975772471054e-06,2.5386829801035567e-07,4.522551198788031e-07,1,3,0,1,0,0,1,1,0,-2.2865351615420033e-06,3.7312290211597696e-07,86.765,18.309,,,,25,,,,,3.93650573902154e-06,,,88.02,16.76
157,00157_terraces,terraces,256,256,5e-06,1.29123690083949e-06,2.304589009095497e-07,1.042734796427764e-06,0,4,1,1,1,0,1,0,0,2.0561551385803205e-06,,,,,,,17,4,,1.6816713006129678e-07,,3.2988377756058602e-06,-3.1254549138788613e-06,-1.2956896743767678e-06,,
158,00158_rough,rough,256,256,2e-05,1.2209675783154225e-06,2.105399342583889e-07,2.637695407816586e-07,0,1,0,0,0,0,0,0,1,,,,,1.5784091227327728e-07,,,,,3.437,,,,,,,
159,00159_lattice,lattice,256,256,5e-06,2.2834928826504276e-07,5.709884123243003e-08,1.3378089952849382e-07,1,4,0,1,1,0,0,1,1,8.747544249352003e-07,6.842978660593642e-08,90.292,14.868,2.5662631499281616e-08,,,,,,4.6732195528993474e-08,,,,,53.29,15.88
160,00160_rough,rough,256,256,5e-06,1.2322971461702581e-06,2.090732970257967e-07,3.881123059843762e-07,0,2,0,1,0,0,0,1,0,3.7759054300420206e-06,1.4744856631830834e-07,27.36,29.082,,,,,,2.809,,,,,,,
161,00161_grating,grating,256,256,1e-05,5.337210666306343e-07,2.3948715689292905e-07,2.730742803615698e-07,1,5,0,1,1,0,1,1,1,-4.443032970921025e-07,4.785384041863501e-08,5.267,6.816,6.827229174926747e-08,,,39,,,9.188470699630331e-08,,1.0409839026893083e-06,,,69.75,32.74
162,00162_grating,grating,256,256,5e-05,6.404874206639951e-07,2.8640229265230873e-07,4.845488153964129e-07,1,2,1,0,0,0,0,1,0,,1.6186331132231786e-07,155.92,25.758,,,,,,,,,,-3.695130810571321e-07,-1.24071169969257e-06,158.11,32.16
163,00163_rough,rough,256,256,2e-05,1.2754403448164228e-06,1.5462496422989477e-07,2.2733710312674336e-07,0,2,0,0,0,1,1,0,0,,,,,,,5,19,,2.296,,1.4523862003240356e-06,5.362097596704829e-06,,,,
164,00164_particles,particles,256,256,5e-05,1.1945351642906092e-06,1.933382028414184e-07,5.63792368398336e-07,0,4,0,1,1,1,0,0,1,4.321413898623375e-06,,,,8.286040395774485e-08,17,1,,,,3.495000669917225e-07,2.1341905747538285e-07,,,,,
165,00165_particles,particles,256,256,5e-05,1.2435210823303046e-06,2.0251274868947957e-07,2.9998064610261204e-07,0,3,0,0,0,0,1,1,1,,2.2178160934759183e-07,138.476,28.946,1.2875147259580316e-07,51,,24,,,,,4.5220273026286494e-06,,,,
166,00166_lattice,lattice,256,256,1e-05,6.258959039276828e-07,1.564684404028952e-07,2.82332052487287e-07,1,3,0,1,0,1,0,1,0,2.0952634731251818e-06,1.0349194724825759e-07,94.671,13.49,,,7,,,,,1.160460306182374e-07,,,,80.16,11.48
167,00167_particles,particles,256,256,5e-05,2.2925810977834228e-07,3.488820380216323e-08,1.0845498202664428e-07,0,3,1,0,0,1,0,0,1,,,,,4.285079686620918e-09,35,12,,,,,2.3304983201446e-07,,2.3643816201484854e-07,2.2749667118923633e-07,,
168,00168_terraces,terraces,256,256,5e-06,9.224049159179022e-07,1.8071798124415664e-07,3.512418808457119e-07,0,4,0,0,1,1,1,1,0,,3.3001465004229395e-07,41.208,27.008,,,3,20,3,,1.5292623474151515e-07,9.157863097034267e-07,2.880723496778912e-06,,,,
169,00169_rough,rough,256,256,5e-05,1.2208156188829e-07,1.8457458088883318e-08,9.188552287784173e-08,0,3,1,0,0,1,0,1,0,,1.7682683060163945e-08,138.474,23.193,,,7,,,2.745,,9.315257123539786e-08,,-2.120133796910595e-07,1.7241554294340077e-07,,
170,00170_rough,rough,256,256,1e-05,7.194958663214962e-07,1.1465054147887892e-07,3.8696270080465226e-07,0,2,1,0,0,1,0,0,0,,,,,,,9,,,2.665,,3.9646681672115035e-07,,-1.2273884443491922e-06,-2.012739660151142e-07,,
171,00171_lattice,lattice,256,256,2e-05,1.0660027329854864e-06,2.66535459119272e-07,6.431398336035896e-07,1,4,1,1,0,1,0,0,1,7.411155691299429e-09,,,,1.0932526821892512e-07,,3,,,,,9.70068575510131e-07,,-1.8039480708967213e-06,-7.737250811704672e-07,36.47,26.27
172,00172_particles,particles,256,256,5e-06,1.0841663270585019e-06,2.1317259571900393e-07,1.2131035855146757e-06,0,3,1,0,1,0,0,1,0,,1.5350028431461018e-07,9.089,21.592,,55,,,,,2.42315309688678e-07,,,-3.061523803423844e-06,-2.902569826112606e-06,,
173,00173_grating,grating,256,256,5e-05,1.243607245315283e-06,5.517500423991794e-07,6.858982305263963e-07,1,3,0,0,1,1,1,0,0,,,,,,,9,6,,,3.867116756320732e-07,8.471094983839793e-07,4.525874346662253e-06,,,59.5,8.47
174,00174_terraces,terraces,256,256,2e-05,6.338284848191899e-07,1.0395578926157358e-07,2.622243140219525e-07,0,4,1,1,0,1,1,0,0,2.2213703467621685e-08,,,,,,2,16,6,,,5.149966151847142e-07,2.0207899463201644e-06,6.03985947306845e-07,-6.867383156841183e-07,,
175,00175_terraces,terraces,256,256,5e-05,4.4160833024030925e-07,7.36071555351393e-08,7.705432878660007e-08,0,1,0,0,0,0,1,0,0,,,,,,,,27,5,,,,1.10694593444207e-06,,,,
176,00176_terraces,terraces,256,256,2e-05,9.80178977455592e-07,2.1333021455536988e-07,7.751109176309577e-07,0,6,1,1,1,0,1,1,1,-4.205203016054306e-07,3.9057553765363876e-07,122.892,5.868,4.64373166786501e-08,,,20,2,,1.9120322152732886e-07,,5.146249244298931e-06,-1.412495241598029e-06,2.0626628656434922e-06,,
177,00177_smooth,smooth,256,256,1e-05,3.495253445942351e-07,7.795069411040284e-08,2.8222216618686777e-07,0,5,1,0,1,1,1,0,1,,,,,4.041280141790028e-09,,10,11,,,1.193988184527931e-07,1.189783458350559e-07,1.1983879336043152e-06,-8.12203646628048e-07,-7.581677689496464e-07,,
178,00178_grating,grating,256,256,2e-05,1.7303204791651535e-07,7.402627796893421e-08,1.0668597627975243e-07,1,3,1,0,1,0,0,0,1,,,,,2.587121430859298e-08,,,,,,2.0536695828672568e-08,,,-2.3858811344868903e-07,-2.7066723462912043e-08,179.56,8.24
179,00179_smooth,smooth,256,256,1e-05,5.002166045639025e-07,1.0530309997100095e-07,1.27634973029172e-07,0,4,0,1,0,1,1,1,0,2.1273713416569962e-07,3.2605000393270965e-08,60.023,11.491,,,4,12,,,,5.475765022494134e-07,2.6277365810487737e-06,,,,
180,00180_lattice,lattice,256,256,2e-05,3.744820339496809e-07,9.36492765927966e-08,3.6037836360919207e-07,1,2,1,0,0,0,0,1,0,,9.249449520752877e-08,125.592,10.116,,,,,,,,,,8.804492013609394e-07,7.916378069432737e-07,5.72,14.35
181,00181_lattice,lattice,256,256,5e-05,1.2192983176645385e-06,3.048413095560873e-07,5.17615932978109e-07,1,5,0,0,1,1,1,1,1,,1.2378048699371756e-07,6.517,8.289,2.3971529702318576e-08,,2,19,,,4.051148743951156e-07,1.3909435217276046e-06,3.091888826857305e-06,,,74.3,12.25
182,00182_lattice,lattice,256,256,5e-06,7.547841712973861e-07,1.8868501965881896e-07,7.569455710835986e-07,1,5,1,1,0,1,0,1,1,1.5441976283509891e-06,2.710568845551663e-07,101.465,23.995,8.461719915477066e-08,,4,,,,,2.406347013465191e-07,,2.2167894278701836e-06,8.521838603358942e-07,56.37,10.88
183,00183_lattice,lattice,256,256,5e-05,4.680238017524357e-07,1.170050123315456e-07,4.6269714655039884e-07,1,3,1,0,1,1,0,0,0,,,,,,,4,,,,4.679719747106543e-08,3.022419173389244e-07,,1.2707908708648593e-06,-8.965513324026637e-07,50.35,10.94
184,00184_terraces,terraces,256,256,5e-06,3.5085678858954393e-07,5.4086214873340144e-08,3.835967649774886e-07,0,3,1,0,0,1,1,0,0,,,,,,,3,40,4,,,9.432077042808573e-08,1.3790059406462724e-06,-8.572687916117666e-07,-9.230022371449783e-07,,
185,00185_smooth,smooth,256,256,5e-05,8.991885328011624e-07,1.897992994116979e-07,2.424138937133191e-07,0,2,0,0,0,0,0,1,1,,1.7660976697090608e-07,150.916,8.462,8.399219269133414e-08,,,,,,,,,,,,
186,00186_particles,particles,256,256,2e-05,4.3420968989205704e-07,7.935804518434789e-08,1.6435517119270934e-07,0,2,0,1,0,0,0,1,0,3.609866735377582e-07,1.9703574275340593e-07,63.417,23.262,,36,,,,,,,,,,,
187,00187_particles,particles,256,256,5e-06,9.313702079284595e-07,1.416885348604438e-07,1.416885348604438e-07,0,0,0,0,0,0,0,0,0,,,,,,11,,,,,,,,,,,
188,00188_smooth,smooth,256,256,1e-05,1.9303509979851876e-07,4.011272663315196e-08,1.5936799795787975e-07,0,3,1,1,0,0,1,0,0,-9.97048658887235e-08,,,,,,,6,,,,,3.2673493887782136e-07,5.326852051534252e-08,-4.451445264141296e-07,,
189,00189_lattice,lattice,256,256,1e-05,1.3297953772641494e-06,3.32495114895406e-07,6.164329179207741e-07,1,2,0,0,1,0,0,1,0,,4.785809779837039e-07,167.43,11.992,,,,,,,4.1372467403791424e-07,,,,,36.32,18.24
190,00190_lattice,lattice,256,256,2e-05,1.3179715494405176e-06,3.2945211107558574e-07,1.1086161697749119e-06,1,3,1,1,0,0,0,0,1,1.2357556628988923e-06,,,,1.547979551016515e-07,,,,,,,,,-2.3694145242336226e-06,-2.7000385001673084e-06,54.88,17.22
191,00191_rough,rough,256,256,2e-05,8.893767928019706e-08,1.705469043674953e-08,2.4861743277144692e-08,0,4,1,0,0,1,1,1,0,,2.2273169115182906e-08,20.722,21.728,,,1,16,,3.309,,4.816928820600396e-08,2.751449072494409e-07,2.5549823087823078e-09,5.35599776329088e-08,,
192,00192_grating,grating,256,256,5e-05,6.357642195914248e-07,2.7306616745853595e-07,2.996293524940502e-07,1,2,0,1,0,1,0,0,0,1.1034603410318418e-06,,,,,,7,,,,,2.54784871038334e-07,,,,95.68,36.91
193,00193_grating,grating,256,256,5e-06,1.1297340704091981e-06,4.990887216721028e-07,6.44236283307552e-07,1,2,0,0,1,0,0,1,0,,3.957900153789855e-07,101.149,4.13,,,,,,,2.619885751777038e-07,,,,,71.15,24.99
194,00194_rough,rough,256,256,1e-05,1.3853725681497477e-06,1.6596580097422112e-07,1.1748961780221345e-06,0,3,1,0,0,1,1,0,0,,,,,,,5,25,,2.04,,2.795922708729727e-07,8.303743856315799e-06,2.416586153025211e-06,3.325865467933864e-06,,
195,00195_particles,particles,256,256,5e-06,5.251054868059476e-07,8.185510473943965e-08,2.0367727701910038e-07,0,2,0,0,1,0,1,0,0,,,,,,13,,21,,,1.7254035566166765e-07,,8.607624773572532e-07,,,,
196,00196_rough,rough,256,256,1e-05,2.9721088585002624e-07,4.4737902913940896e-08,1.1118331133467252e-07,0,4,0,0,0,1,1,1,1,,1.2348890054644465e-07,159.025,23.597,4.0428907371231404e-08,,1,18,,2.598,,3.5457442770808243e-07,1.2924766927881337e-06,,,,
197,00197_particles,particles,256,256,5e-06,2.1460016514298064e-07,3.3209320442557694e-08,9.564889346983725e-08,0,3,0,1,0,1,0,1,0,6.530457137713117e-07,7.44706978574087e-08,173.883,18.731,,31,12,,,,,1.6989227126684098e-07,,,,,
198,00198_rough,rough,256,256,5e-05,2.1538870005735087e-07,2.8173601871138605e-08,1.6604966249798877e-07,0,3,1,1,1,0,0,0,0,-1.8896749057005704e-07,,,,,,,,,2.324,7.317425317761804e-08,,,5.201230333855557e-07,-6.05887934688003e-08,,
199,00199_rough,rough,256,256,2e-05,7.665470035285875e-07,9.891945151798932e-08,6.427792346839592e-07,0,5,1,1,0,0,1,1,1,2.90914680696471e-06,2.3581136027596082e-07,173.117,14.64,1.1250857956218283e-07,,,27,,2.263,,,2.4691756744331105e-06,-1.3702350653792546e-06,-1.2022470887304738e-06,,
200,00200_terraces,terraces,256,256,2e-05,8.335488293062603e-07,2.041072010369963e-07,3.8031278315358436e-07,0,2,1,0,0,0,0,0,1,,,,,7.3451963989899e-08,,,,2,,,,,9.425716747541604e-07,-4.150812066299014e-07,,
201,00201_smooth,smooth,256,256,1e-05,4.784325751940821e-07,9.641654436643836e-08,4.697432342241571e-07,0,3,1,0,0,1,0,0,1,,,,,1.9682190355361633e-08,,9,,,,,1.1224662536323552e-07,,1.020639820827069e-06,8.265625001374007e-07,,
